Country Name,iso_code,Indicator Name,unemployment
Bolivia,BOL,"Unemployment, total (% of total labor force) (national estimate)",5.090000153
Bosnia and Herzegovina,BIH,"Unemployment, total (% of total labor force) (national estimate)",14.89999962
Brazil,BRA,"Unemployment, total (% of total labor force) (national estimate)",13.15999985
Brunei Darussalam,BRN,"Unemployment, total (% of total labor force) (national estimate)",4.909999847
Bulgaria,BGR,"Unemployment, total (% of total labor force) (national estimate)",5.269999981
Canada,CAN,"Unemployment, total (% of total labor force) (national estimate)",7.460000038
Chile,CHL,"Unemployment, total (% of total labor force) (national estimate)",9.279999733
China,CHN,"Unemployment, total (% of total labor force) (national estimate)",5.110000134
Colombia,COL,"Unemployment, total (% of total labor force) (national estimate)",13.89999962
Costa Rica,CRI,"Unemployment, total (% of total labor force) (national estimate)",15.14000034
Croatia,HRV,"Unemployment, total (% of total labor force) (national estimate)",7.610000134
Cyprus,CYP,"Unemployment, total (% of total labor force) (national estimate)",7.510000229
Czechia,CZE,"Unemployment, total (% of total labor force) (national estimate)",2.799999952
Denmark,DNK,"Unemployment, total (% of total labor force) (national estimate)",5.059999943
Dominican Republic,DOM,"Unemployment, total (% of total labor force) (national estimate)",7.699999809
Ecuador,ECU,"Unemployment, total (% of total labor force) (national estimate)",4.5
El Salvador,SLV,"Unemployment, total (% of total labor force) (national estimate)",4.329999924
Estonia,EST,"Unemployment, total (% of total labor force) (national estimate)",6.179999828
Ethiopia,ETH,"Unemployment, total (% of total labor force) (national estimate)",3.930000067
Finland,FIN,"Unemployment, total (% of total labor force) (national estimate)",7.610000134
France,FRA,"Unemployment, total (% of total labor force) (national estimate)",7.860000134
Germany,DEU,"Unemployment, total (% of total labor force) (national estimate)",3.569999933
Greece,GRC,"Unemployment, total (% of total labor force) (national estimate)",14.65999985
"Hong Kong SAR, China",HKG,"Unemployment, total (% of total labor force) (national estimate)",5.170000076
Hungary,HUN,"Unemployment, total (% of total labor force) (national estimate)",4.050000191
Iceland,ISL,"Unemployment, total (% of total labor force) (national estimate)",5.989999771
Indonesia,IDN,"Unemployment, total (% of total labor force) (national estimate)",3.829999924
Iraq,IRQ,"Unemployment, total (% of total labor force) (national estimate)",16.17000008
Ireland,IRL,"Unemployment, total (% of total labor force) (national estimate)",6.190000057
Israel,ISR,"Unemployment, total (% of total labor force) (national estimate)",4.960000038
Italy,ITA,"Unemployment, total (% of total labor force) (national estimate)",9.5
Jamaica,JAM,"Unemployment, total (% of total labor force) (national estimate)",8.350000381
Japan,JPN,"Unemployment, total (% of total labor force) (national estimate)",2.799999952
Jordan,JOR,"Unemployment, total (% of total labor force) (national estimate)",19.84000015
"Korea, Rep.",KOR,"Unemployment, total (% of total labor force) (national estimate)",3.640000105
Kyrgyz Republic,KGZ,"Unemployment, total (% of total labor force) (national estimate)",4.099999905
Latvia,LVA,"Unemployment, total (% of total labor force) (national estimate)",7.510000229
Lithuania,LTU,"Unemployment, total (% of total labor force) (national estimate)",7.110000134
Luxembourg,LUX,"Unemployment, total (% of total labor force) (national estimate)",5.25
Malta,MLT,"Unemployment, total (% of total labor force) (national estimate)",3.390000105
Mauritius,MUS,"Unemployment, total (% of total labor force) (national estimate)",8.199999809
Mexico,MEX,"Unemployment, total (% of total labor force) (national estimate)",4.090000153
Moldova,MDA,"Unemployment, total (% of total labor force) (national estimate)",0.790000021
Mongolia,MNG,"Unemployment, total (% of total labor force) (national estimate)",7.75
Netherlands,NLD,"Unemployment, total (% of total labor force) (national estimate)",4.210000038
New Zealand,NZL,"Unemployment, total (% of total labor force) (national estimate)",3.779999971
North Macedonia,MKD,"Unemployment, total (% of total labor force) (national estimate)",15.77999973
Norway,NOR,"Unemployment, total (% of total labor force) (national estimate)",4.369999886
Oman,OMN,"Unemployment, total (% of total labor force) (national estimate)",1.899999976
Pakistan,PAK,"Unemployment, total (% of total labor force) (national estimate)",6.340000153
Panama,PAN,"Unemployment, total (% of total labor force) (national estimate)",10.28999996
Paraguay,PRY,"Unemployment, total (% of total labor force) (national estimate)",7.309999943
Peru,PER,"Unemployment, total (% of total labor force) (national estimate)",5.099999905
Philippines,PHL,"Unemployment, total (% of total labor force) (national estimate)",3.400000095
Poland,POL,"Unemployment, total (% of total labor force) (national estimate)",3.359999895
Portugal,PRT,"Unemployment, total (% of total labor force) (national estimate)",6.579999924
Puerto Rico,PRI,"Unemployment, total (% of total labor force) (national estimate)",7.900000095
Qatar,QAT,"Unemployment, total (% of total labor force) (national estimate)",0.140000001
Romania,ROU,"Unemployment, total (% of total labor force) (national estimate)",5.590000153
Russian Federation,RUS,"Unemployment, total (% of total labor force) (national estimate)",4.71999979
Rwanda,RWA,"Unemployment, total (% of total labor force) (national estimate)",15.78999996
San Marino,SMR,"Unemployment, total (% of total labor force) (national estimate)",6.340000153
Saudi Arabia,SAU,"Unemployment, total (% of total labor force) (national estimate)",6.619999886
Serbia,SRB,"Unemployment, total (% of total labor force) (national estimate)",10.06000042
Singapore,SGP,"Unemployment, total (% of total labor force) (national estimate)",3.539999962
Slovak Republic,SVK,"Unemployment, total (% of total labor force) (national estimate)",6.889999866
Slovenia,SVN,"Unemployment, total (% of total labor force) (national estimate)",4.739999771
South Africa,ZAF,"Unemployment, total (% of total labor force) (national estimate)",28.77000046
Spain,ESP,"Unemployment, total (% of total labor force) (national estimate)",14.77999973
St. Lucia,LCA,"Unemployment, total (% of total labor force) (national estimate)",19.52000046
Sweden,SWE,"Unemployment, total (% of total labor force) (national estimate)",8.720000267
Switzerland,CHE,"Unemployment, total (% of total labor force) (national estimate)",5.099999905
Thailand,THA,"Unemployment, total (% of total labor force) (national estimate)",1.210000038
Timor-Leste,TLS,"Unemployment, total (% of total labor force) (national estimate)",2.339999914
Tonga,TON,"Unemployment, total (% of total labor force) (national estimate)",2.109999895
Trinidad and Tobago,TTO,"Unemployment, total (% of total labor force) (national estimate)",4.449999809
Turkiye,TUR,"Unemployment, total (% of total labor force) (national estimate)",11.97000027
Uganda,UGA,"Unemployment, total (% of total labor force) (national estimate)",12.27999973
Ukraine,UKR,"Unemployment, total (% of total labor force) (national estimate)",9.829999924
United Arab Emirates,ARE,"Unemployment, total (% of total labor force) (national estimate)",3.109999895
United States,USA,"Unemployment, total (% of total labor force) (national estimate)",5.349999905
Uruguay,URY,"Unemployment, total (% of total labor force) (national estimate)",9.289999962
Vietnam,VNM,"Unemployment, total (% of total labor force) (national estimate)",2.380000114
West Bank and Gaza,PSE,"Unemployment, total (% of total labor force) (national estimate)",26.38999939
Zambia,ZMB,"Unemployment, total (% of total labor force) (national estimate)",5.199999809
